name,smiles,inchi,mass,Ethyl,Aldehydes,Carbonyl,Peroxide,Pan
TM123O4OH,O=C1C=C(C)C(C)(O)C(=C1)C,"InChI=1S/C9H12O2/c1-6-4-8(10)5-7(2)9(6,3)11/h4-5,11H,1-3H3",152.1904,7,0,1,0,0
C7ADCCO2,CC(=O)C(=C(C)C(=O)[O])C,InChI=1S/C7H9O3/c1-4(6(3)8)5(2)7(9)10/h1-3H3,141.1446,5,0,2,0,0
DMMALANHY,O=C1OC(=O)C(=C1C)C,InChI=1S/C6H6O3/c1-3-4(2)6(8)9-5(3)7/h1-2H3,126.1100,4,0,2,0,0
DMMALYO2,[O]OC1(C)C(=O)OC(=O)C1(C)O,"InChI=1S/C6H7O6/c1-5(9)3(7)11-4(8)6(5,2)12-10/h9H,1-2H3",175.1162,5,0,2,1,0
DMMALYO,O=C1OC(=O)C(C)(O)C1(C)[O],"InChI=1S/C6H7O5/c1-5(9)3(7)11-4(8)6(5,2)10/h9H,1-2H3",159.1168,5,0,2,0,0
CO2OH3MCO3,CC(O)(C(=O)O[O])C(=O)C,"InChI=1S/C5H7O5/c1-3(6)5(2,8)4(7)10-9/h8H,1-2H3",147.1061,4,0,2,1,0
CO2H3MCO3H,CC(O)(C(=O)OO)C(=O)C,"InChI=1S/C5H8O5/c1-3(6)5(2,8)4(7)10-9/h8-9H,1-2H3",148.1140,4,0,2,1,0
CO2OH3MPAN,O=N(=O)OOC(=O)C(C)(O)C(=O)C,"InChI=1S/C5H7NO7/c1-3(7)5(2,9)4(8)12-13-6(10)11/h9H,1-2H3",193.1116,4,0,2,2,1
DMMALYOOH,OOC1(C)C(=O)OC(=O)C1(C)O,"InChI=1S/C6H8O6/c1-5(9)3(7)11-4(8)6(5,2)12-10/h9-10H,1-2H3",176.1241,5,0,2,1,0
DMMALYOH,O=C1OC(=O)C(C)(O)C1(C)O,"InChI=1S/C6H8O5/c1-5(9)3(7)11-4(8)6(5,2)10/h9-10H,1-2H3",160.1247,5,0,2,0,0
NDMMALYO2,[O]OC1(C)C(=O)OC(=O)C1(C)ON(=O)=O,"InChI=1S/C6H6NO8/c1-5(14-7(10)11)3(8)13-4(9)6(5,2)15-12/h1-2H3",220.1137,5,0,2,1,0
NDMMALYO,O=N(=O)OC1(C)C(=O)OC(=O)C1(C)[O],"InChI=1S/C6H6NO7/c1-5(10)3(8)13-4(9)6(5,2)14-7(11)12/h1-2H3",204.1143,5,0,2,0,0
NDMMALYOOH,OOC1(C)C(=O)OC(=O)C1(C)ON(=O)=O,"InChI=1S/C6H7NO8/c1-5(14-7(10)11)3(8)13-4(9)6(5,2)15-12/h12H,1-2H3",221.1217,5,0,2,1,0
TMB2FUONE,CC1OC(=O)C(=C1C)C,"InChI=1S/C7H10O2/c1-4-5(2)7(8)9-6(4)3/h6H,1-3H3",126.1531,5,0,1,0,0
TMB2FUO2,[O]OC1(C)C(=O)OC(C)C1(C)O,"InChI=1S/C7H11O5/c1-4-6(2,9)7(3,12-10)5(8)11-4/h4,9H,1-3H3",175.1592,6,0,1,1,0
C5COMOHO2,[O]OC(C)C(C)(O)C(=O)C,"InChI=1S/C6H11O4/c1-4(7)6(3,8)5(2)10-9/h5,8H,1-3H3",147.1491,5,0,1,1,0
TMB2FUO,CC1OC(=O)C(C)([O])C1(C)O,"InChI=1S/C7H11O4/c1-4-6(2,9)7(3,10)5(8)11-4/h4,9H,1-3H3",159.1598,6,0,1,0,0
TMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)O,"InChI=1S/C7H12O5/c1-4-6(2,9)7(3,12-10)5(8)11-4/h4,9-10H,1-3H3",176.1672,6,0,1,1,0
C5COMOHOOH,OOC(C)C(C)(O)C(=O)C,"InChI=1S/C6H12O4/c1-4(7)6(3,8)5(2)10-9/h5,8-9H,1-3H3",148.1571,5,0,1,1,0
C5COM2OH,CC(O)C(C)(O)C(=O)C,"InChI=1S/C6H12O3/c1-4(7)6(3,9)5(2)8/h4,7,9H,1-3H3",132.1577,5,0,1,0,0
NTMB2FUO2,[O]OC1(C)C(=O)OC(C)C1(C)ON(=O)=O,"InChI=1S/C7H10NO7/c1-4-6(2,14-8(10)11)7(3,15-12)5(9)13-4/h4H,1-3H3",220.1568,6,0,1,1,0
NTMB2FUO,O=N(=O)OC1(C)C(C)OC(=O)C1(C)[O],"InChI=1S/C7H10NO6/c1-4-7(3,14-8(11)12)6(2,10)5(9)13-4/h4H,1-3H3",204.1574,6,0,1,0,0
NTMB2FUOOH,OOC1(C)C(=O)OC(C)C1(C)ON(=O)=O,"InChI=1S/C7H11NO7/c1-4-6(2,14-8(10)11)7(3,15-12)5(9)13-4/h4,12H,1-3H3",221.1647,6,0,1,1,0
C5COMNO3O2,[O]OC(C)C(C)(ON(=O)=O)C(=O)C,"InChI=1S/C6H10NO6/c1-4(8)6(3,5(2)12-11)13-7(9)10/h5H,1-3H3",192.1467,5,0,1,1,0
C5COMNO3O,O=N(=O)OC(C)(C(C)[O])C(=O)C,"InChI=1S/C6H10NO5/c1-4(8)6(3,5(2)9)12-7(10)11/h4H,1-3H3",176.1473,5,0,1,0,0
C5OMNO3OOH,OOC(C)C(C)(ON(=O)=O)C(=O)C,"InChI=1S/C6H11NO6/c1-4(8)6(3,5(2)12-11)13-7(9)10/h5,11H,1-3H3",193.1546,5,0,1,1,0
TM123OXMUC,CC(=O)C=CC1OC1(C)C(=O)C,"InChI=1S/C9H12O3/c1-6(10)4-5-8-9(3,12-8)7(2)11/h4-5,8H,1-3H3",168.1898,7,0,2,0,0
EPXALMKT,O=CC1OC1(C)C(=O)C,"InChI=1S/C6H8O3/c1-4(8)6(2)5(3-7)9-6/h3,5H,1-2H3",128.1259,5,1,1,0,0
TM123MUCO2,[O]OC(C(O)C(=O)C)C1OC1(C)C(=O)C,"InChI=1S/C9H13O6/c1-4(10)6(12)7(15-13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3",217.1959,8,0,2,1,0
TM123MUCO,OC(C(=O)C)C([O])C1OC1(C)C(=O)C,"InChI=1S/C9H13O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12H,1-3H3",201.1965,8,0,2,0,0
TM123MUNO3,O=N(=O)OC(C(O)C(=O)C)C1OC1(C)C(=O)C,"InChI=1S/C9H13NO7/c1-4(11)6(13)7(17-10(14)15)8-9(3,16-8)5(2)12/h6-8,13H,1-3H3",247.2020,8,0,2,0,0
TM123MUOOH,OOC(C(O)C(=O)C)C1OC1(C)C(=O)C,"InChI=1S/C9H14O6/c1-4(10)6(12)7(15-13)8-9(3,14-8)5(2)11/h6-8,12-13H,1-3H3",218.2039,8,0,2,1,0
TM123MUCOH,OC(C(=O)C)C(O)C1OC1(C)C(=O)C,"InChI=1S/C9H14O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6-8,12-13H,1-3H3",202.2045,8,0,2,0,0
TM123MUCCO,OC(C(=O)C)C(=O)C1OC1(C)C(=O)C,"InChI=1S/C9H12O5/c1-4(10)6(12)7(13)8-9(3,14-8)5(2)11/h6,8,12H,1-3H3",200.1886,8,0,3,0,0
EPXKTMCO3,CC1(OC1C(=O)O[O])C(=O)C,"InChI=1S/C6H7O5/c1-3(7)6(2)4(10-6)5(8)11-9/h4H,1-2H3",159.1168,5,0,2,1,0
EPXKTMCO3H,CC1(OC1C(=O)OO)C(=O)C,"InChI=1S/C6H8O5/c1-3(7)6(2)4(10-6)5(8)11-9/h4,9H,1-2H3",160.1247,5,0,2,1,0
EPXKTMCO2H,OC(=O)C1OC1(C)C(=O)C,"InChI=1S/C6H8O4/c1-3(7)6(2)4(10-6)5(8)9/h4H,1-2H3,(H,8,9)",144.1253,5,0,2,0,0
TM123O,Cc1ccc([O])c(C)c1C,"InChI=1S/C9H11O/c1-6-4-5-9(10)8(3)7(6)2/h4-5H,1-3H3",135.1830,9,0,0,0,0
TM123OLO2,[O]OC1(O)C2OOC(C)(C2O)C(=C1C)C,"InChI=1S/C9H13O6/c1-4-5(2)9(11,14-12)7-6(10)8(4,3)15-13-7/h6-7,10-11H,1-3H3",217.1959,8,0,0,3,0
NTM123OLO2,[O]OC1(O)C2OOC(C)(C2ON(=O)=O)C(=C1C)C,"InChI=1S/C9H12NO8/c1-4-5(2)9(11,17-14)7-6(15-10(12)13)8(4,3)18-16-7/h6-7,11H,1-3H3",262.1935,8,0,0,3,0
TM123OLO,CC1=C(C)C2(C)OOC(C2O)C1([O])O,"InChI=1S/C9H13O5/c1-4-5(2)9(11,12)7-6(10)8(4,3)14-13-7/h6-7,10-11H,1-3H3",201.1965,8,0,0,2,0
TM123OLOOH,OOC1(O)C2OOC(C)(C2O)C(=C1C)C,"InChI=1S/C9H14O6/c1-4-5(2)9(11,14-12)7-6(10)8(4,3)15-13-7/h6-7,10-12H,1-3H3",218.2039,8,0,0,3,0
TM123OLOH,CC1=C(C)C2(C)OOC(C2O)C1(O)O,"InChI=1S/C9H14O5/c1-4-5(2)9(11,12)7-6(10)8(4,3)14-13-7/h6-7,10-12H,1-3H3",202.2045,8,0,0,2,0
NTM123OLO,O=N(=O)OC1C2OOC1(C)C(=C(C)C2([O])O)C,"InChI=1S/C9H12NO7/c1-4-5(2)9(11,12)7-6(15-10(13)14)8(4,3)17-16-7/h6-7,11H,1-3H3",246.1941,8,0,0,2,0
NTM123LOOH,OOC1(O)C2OOC(C)(C2ON(=O)=O)C(=C1C)C,"InChI=1S/C9H13NO8/c1-4-5(2)9(11,17-14)7-6(15-10(12)13)8(4,3)18-16-7/h6-7,11,14H,1-3H3",263.2014,8,0,0,3,0
NTM123OLOH,O=N(=O)OC1C2OOC1(C)C(=C(C)C2(O)O)C,"InChI=1S/C9H13NO7/c1-4-5(2)9(11,12)7-6(15-10(13)14)8(4,3)17-16-7/h6-7,11-12H,1-3H3",247.2020,8,0,0,2,0
TM123OHNO2,Cc1cc(N(=O)=O)c(O)c(C)c1C,"InChI=1S/C9H11NO3/c1-5-4-8(10(12)13)9(11)7(3)6(5)2/h4,11H,1-3H3",181.1885,9,0,0,0,0
NTM123PHO2,[O]OC1(O)C(=C(C)C2(C)OOC1(N(=O)=O)C2O)C,"InChI=1S/C9H12NO8/c1-4-5(2)9(12,16-15)8(10(13)14)6(11)7(4,3)17-18-8/h6,11-12H,1-3H3",262.1935,8,0,0,3,0
NTM123PHO,CC1=C(C)C([O])(O)C2(OOC1(C)C2O)N(=O)=O,"InChI=1S/C9H12NO7/c1-4-5(2)9(12,13)8(10(14)15)6(11)7(4,3)16-17-8/h6,11-12H,1-3H3",246.1941,8,0,0,2,0
NTM123POOH,OOC1(O)C(=C(C)C2(C)OOC1(N(=O)=O)C2O)C,"InChI=1S/C9H13NO8/c1-4-5(2)9(12,16-15)8(10(13)14)6(11)7(4,3)17-18-8/h6,11-12,15H,1-3H3",263.2014,8,0,0,3,0
TM124OHNO2,Cc1cc(N(=O)=O)c(C)c(C)c1O,"InChI=1S/C9H11NO3/c1-5-4-8(10(12)13)6(2)7(3)9(5)11/h4,11H,1-3H3",181.1885,9,0,0,0,0
NTM124PHO,OC1=C(C)C([O])(O)C2(OOC1(C)C2C)N(=O)=O,"InChI=1S/C9H12NO7/c1-4-6(11)7(3)5(2)8(10(14)15,17-16-7)9(4,12)13/h5,11-12H,1-3H3",246.1941,8,0,0,2,0
NTM124POOH,OOC1(O)C(=C(O)C2(C)OOC1(N(=O)=O)C2C)C,"InChI=1S/C9H13NO8/c1-4-6(11)7(3)5(2)8(10(13)14,18-17-7)9(4,12)16-15/h5,11-12,15H,1-3H3",263.2014,8,0,0,3,0
TM135BPOOH,OOC1C(=CC2(C)OOC1(C)C2O)C,"InChI=1S/C9H14O5/c1-5-4-8(2)7(10)9(3,14-13-8)6(5)12-11/h4,6-7,10-11H,1-3H3",202.2045,8,0,0,3,0
TMB2FUOH,CC1OC(=O)C(C)(O)C1(C)O,"InChI=1S/C7H12O4/c1-4-6(2,9)7(3,10)5(8)11-4/h4,9-10H,1-3H3",160.1678,6,0,1,0,0
EBZBIPERO2,[O]OC1C=CC2(CC)OOC1C2O,"InChI=1S/C8H11O5/c1-2-8-4-3-5(11-10)6(7(8)9)12-13-8/h3-7,9H,2H2,1H3",187.1699,7,0,0,3,0
EBZBIPERO,CCC12OOC(C([O])C=C1)C2O,"InChI=1S/C8H11O4/c1-2-8-4-3-5(9)6(7(8)10)11-12-8/h3-7,10H,2H2,1H3",171.1705,7,0,0,2,0
EBZBPEROOH,OOC1C=CC2(CC)OOC1C2O,"InChI=1S/C8H12O5/c1-2-8-4-3-5(11-10)6(7(8)9)12-13-8/h3-7,9-10H,2H2,1H3",188.1779,7,0,0,3,0
EBZBPER2OH,CCC12OOC(C(O)C=C1)C2O,"InChI=1S/C8H12O4/c1-2-8-4-3-5(9)6(7(8)10)11-12-8/h3-7,9-10H,2H2,1H3",172.1785,7,0,0,2,0
EBZOBPEROH,CCC12OOC(C(=O)C=C1)C2O,"InChI=1S/C8H10O4/c1-2-8-4-3-5(9)6(7(8)10)11-12-8/h3-4,6-7,10H,2H2,1H3",170.1626,7,0,1,2,0
EBZBPERNO3,CCC12C=CC(ON(=O)=O)C(OO1)C2O,"InChI=1S/C8H11NO6/c1-2-8-4-3-5(13-9(11)12)6(7(8)10)14-15-8/h3-7,10H,2H2,1H3",217.1760,7,0,0,2,0
EBZPERO2,[O]OC1C=CC(O)C(=C1)CC,"InChI=1S/C8H11O3/c1-2-6-5-7(11-10)3-4-8(6)9/h3-5,7-9H,2H2,1H3",155.1711,6,0,0,1,0
EBZPERO,CCC1=CC([O])C=CC1O,"InChI=1S/C8H11O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5,7-8,10H,2H2,1H3",139.1717,6,0,0,0,0
EBZPEROOH,OOC1C=CC(O)C(=C1)CC,"InChI=1S/C8H12O3/c1-2-6-5-7(11-10)3-4-8(6)9/h3-5,7-10H,2H2,1H3",156.1791,6,0,0,1,0
EBZPERNO3,CCC1=CC(C=CC1O)ON(=O)=O,"InChI=1S/C8H11NO4/c1-2-6-5-7(13-9(11)12)3-4-8(6)10/h3-5,7-8,10H,2H2,1H3",185.1772,6,0,0,0,0
EBZPER2OH,CCC1=CC(O)C=CC1O,"InChI=1S/C8H12O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5,7-10H,2H2,1H3",140.1797,6,0,0,0,0
EB3O2OH,CCC1=CC(=O)C=CC1O,"InChI=1S/C8H10O2/c1-2-6-5-7(9)3-4-8(6)10/h3-5,8,10H,2H2,1H3",138.1638,6,0,1,0,0
EBFUONE,CCC1OC(=O)C=C1,"InChI=1S/C6H8O2/c1-2-5-3-4-6(7)8-5/h3-5H,2H2,1H3",112.1265,4,0,1,0,0
EBFUO2,CCC1OC(=O)C(O[O])C1O,"InChI=1S/C6H9O5/c1-2-3-4(7)5(11-9)6(8)10-3/h3-5,7H,2H2,1H3",161.1327,5,0,1,1,0
C5OCCOHCO2,CCC(O[O])C(O)C=O,"InChI=1S/C5H9O4/c1-2-5(9-8)4(7)3-6/h3-5,7H,2H2,1H3",133.1226,4,1,0,1,0
EBFUO,CCC1OC(=O)C([O])C1O,"InChI=1S/C6H9O4/c1-2-3-4(7)5(8)6(9)10-3/h3-5,7H,2H2,1H3",145.1333,5,0,1,0,0
